DATA B39F40
 +0 ptr=b3eaa8 raw=7ff7a3cceaa8
 +8 ptr=125390 raw=7ff7a32b5390
 +16 ptr=b3eac8 raw=7ff7a3cceac8
 +24 ptr=1254d0 raw=7ff7a32b54d0
 +32 ptr=b3eae0 raw=7ff7a3cceae0
 +40 ptr=125610 raw=7ff7a32b5610
 +48 ptr=b3eaf8 raw=7ff7a3cceaf8
 +56 ptr=1256f0 raw=7ff7a32b56f0
 +64 ptr=b3eb18 raw=7ff7a3cceb18
 +72 ptr=125780 raw=7ff7a32b5780
 +80 ptr=b3eb38 raw=7ff7a3cceb38
 +88 ptr=126bc0 raw=7ff7a32b6bc0
 +96 ptr=b3eb50 raw=7ff7a3cceb50
 +104 ptr=126bf0 raw=7ff7a32b6bf0
 +112 ptr=b3eb68 raw=7ff7a3cceb68
 +120 ptr=126ce0 raw=7ff7a32b6ce0
DATA B39420
 +0 ptr=b3d648 raw=7ff7a3ccd648
 +8 ptr=11f6a0 raw=7ff7a32af6a0
 +16 ptr=b3d668 raw=7ff7a3ccd668
 +24 ptr=11f810 raw=7ff7a32af810
 +32 ptr=b3d680 raw=7ff7a3ccd680
 +40 ptr=11f880 raw=7ff7a32af880
 +48 ptr=b3d698 raw=7ff7a3ccd698
 +56 ptr=11f8f0 raw=7ff7a32af8f0
 +64 ptr=b3d6b8 raw=7ff7a3ccd6b8
 +72 ptr=11f960 raw=7ff7a32af960
 +80 ptr=b3d6d8 raw=7ff7a3ccd6d8
 +88 ptr=11f9d0 raw=7ff7a32af9d0
 +96 ptr=b3d708 raw=7ff7a3ccd708
 +104 ptr=11fa90 raw=7ff7a32afa90
 +112 ptr=b3d730 raw=7ff7a3ccd730
 +120 ptr=11fbb0 raw=7ff7a32afbb0
DATA B40D74
 +0 ptr=3235b6395ce76469 raw=3236363100006469
 +8 ptr=311fe32d5d5c2520 raw=3120632500752520
 +16 ptr=251fe62d7d4d2520 raw=2520662520662520
 +24 ptr=ffff8008c30c2066 raw=66252066
 +32 ptr=ffff807bca4c7469 raw=736d657469
 +40 ptr=2063ed6b5ce70000 raw=20646d6300000000
 +48 ptr=251ff52d7d50756c raw=252075252069756c
 +56 ptr=ffff8012c60c2069 raw=a69252069
 +64 ptr=2063ed6b5ce70000 raw=20646d6300000000
 +72 ptr=2074a528d050756c raw=207525207369756c
 +80 ptr=ffff8a7182077325 raw=a6925207325
 +88 ptr=2063ed6b5ce70000 raw=20646d6300000000
 +96 ptr=2074a528c850756c raw=207525206b69756c
 +104 ptr=6924a07182076925 raw=6925206925206925
 +112 ptr=ffff800867502520 raw=a692520
 +120 ptr=ffff8008921d3631 raw=35363631
