setSuppressPS4AsianMarketButtonSwapping b2dae0 020490
setupVendorOverhead b2e370 356200
UserOnlineDataFetched b383e0 10D990
UserCanAccessStore b38460 10DCA0
CheckSPEntitlements b384f0 10E3D0
Inventory_GetAllWeaponParts b39290 11D910
Inventory_GetAllWeaponConditions b392a0 11DA00
Inventory_PlayerHasPartsForWeapon b392b0 11DAF0
Inventory_ForgeWeapon b392c0 11DC00
Inventory_GetCraftedWeaponContent b392d0 11DD60
Inventory_GetItemQuantity b392e0 11DEB0
Inventory_GetAllItems b392f0 11DF90
Inventory_GetArmoryItems b39300 11E210
Inventory_ClearNewFlag b39310 11E4F0
Inventory_GetNewItems b39320 11E590
Inventory_GetItemRarity b39330 11E6B0
Inventory_GetItemCondition b39340 11E810
Inventory_IsPawnableItem b39350 11E8A0
Inventory_GetItemPawnValue b39360 11E9E0
Inventory_GetCachedCollectionItemSkuPrice b39370 11E920
Inventory_ConvertItemToXP b39380 11EA90
Inventory_ConvertItemToArmoryCredit b39390 11EC10
Inventory_ConvertItemToSocialScore b393a0 11EDA0
Inventory_PawnDuplicates b393b0 11EF30
Inventory_PawnAllDuplicates b393c0 11F010
Inventory_ConsumeItem b393d0 11F090
Inventory_GetItemExpirationType b393e0 11F240
Inventory_GetItemExpiryDuration b393f0 11F380
Inventory_GetItemExpirationDateTime b39400 11F470
Inventory_GetVoucherItems b39410 11F560
Inventory_RedeemVoucherItem b39420 11F6A0
Inventory_IsDefaultItem b39430 11F810
Inventory_IsLootItem b39440 11F880
Inventory_IsChallengeItem b39450 11F8F0
Inventory_IsEntitlementItem b39460 11F960
Inventory_AcknowledgeExpiredItemsWrapper b39470 11F9D0
Inventory_GetExpiredItemsWrapperIDs b39480 11FA90
Inventory_GetExpiredItemsWrapperData b39490 11FBB0
Inventory_IsItemLootRoll b394a0 11FD00
Inventory_PurchaseSKU b394b0 11FDF0
Inventory_GetSKUInfo b394c0 11FF90
Inventory_GetSKUInfoSKUData b394d0 1202C0
Inventory_GetSKUInfoItems b394e0 120390
Inventory_AreSKUsFetched b394f0 120610
Inventory_FetchAllSKUs b39500 120670
Inventory_GetAllSKUIDs b39510 120760
Inventory_GetCurrencyBalance b39520 120940
Inventory_GetCurrencyReceivedPostMatch b39530 120A20
Inventory_GetItemsReceivedPostMatch b39540 120B60
Inventory_GetItemCountReceivedPostMatch b39550 120D00
Inventory_FetchLimitedSKUsQuantities b39560 120870
Inventory_FetchPlayerUsageTime b39570 121210
Inventory_GetPlayerUsageTime b39580 121230
Inventory_ApplyConversionRule b39590 121250
Inventory_IsCollectionComplete b395a0 120E50
Inventory_GetCollectionProgress b395b0 120F30
Inventory_RedeemCollectionReward b395c0 121040
Inventory_GetItemCollectionID b395d0 121190
AE_ArePlayerAchievementsFetched b39640 121E90
Inventory_IsItemUsableForPlayer b39730 123600
Inventory_IsItemGUIDUsableForPlayer b39740 123710
Inventory_IsItemGuidAZMConsumable b39750 1237F0
IsJapaneseSKU b39c90 11B800
DLC_CanPurchase b39ea0 126970
DLC_CanPurchasePackName b39eb0 126AE0
MarketingGetMessage b39f30 125020
MarketingReportMessageViewed b39f40 125390
MarketingClearMessage b39f50 1254D0
MarketingClearLocation b39f60 125610
MarketingRefreshMessages b39f70 1256F0
MarketingRedeemMessageCodes b39f80 125780
SetStoreEnterTimestamp b39f90 126BC0
ShowPsStoreIcon b39fe0 126DC0
HidePsStoreIcon b39ff0 126DD0
CloseInGameStore b3a000 126E00
DoesVendorNeedDailyReset b3a620 12B770
AllowHubVendorMenu b3a710 12C380
SetOnlineFriendStoredXUID b3aa30 130090
SetRecentPlayerStoredXUID b3ac00 131550
SetEliteClanFriendStoredXUID b3adb0 132970
HasFetchedRankedPlaySkillForParty b47600 1A8280
IsReadyToLaunch b50d90 2977E0
IsGameStartReady b50da0 297880
IsMinPlayersReady b50db0 2979C0
IsTeamBalancingReady b50dc0 297A60
IsCoopReady b50dd0 297920
IsGameBattlesReadyForDS b51120 299EC0
IsReady b5afa0 30B750
AlreadyMember b5be00 3111D0
CanUseEntitlement b5c050 312F30
IsEntitlementUnlocked b5c280 314DB0
UsingReadyUpFeature b5fa10 333030
GetLocalReadyUpFlag b5fa20 333090
SetLocalReadyUpFlag b5fa30 333120
ClearLocalReadyUpFlag b5fa40 3331C0
GetMemberReadyUpFlag b5fa50 333260
GetPartyReadyUpStatus b5fa60 333470
PurchasePrestigeTitle b5fe70 337400
IsGameReadyToStart b60210 33AEF0
IsItemPurchasedByIndex b65680 36F350
GetNewStoreItemCategoryBreadcrumbState b65750 36FE90
SetNewStoreItemBreadcrumbState b65770 3701F0
IsOneClickPurchaseEnabled b656b0 36F860
OneClickPurchase_ShowPurchaseDialog b656c0 36F830
OneClickPurchase_ShowProductPicker b656d0 36F820
FindPlayerPurchases b656e0 36FCC0
FoundPlayerPurchases b656f0 36FCF0
ShowEmptyStoreDialog b65700 36FD10
GetAnyNewStoreItemBreadcrumbState b65740 36FD30
GetNewStoreItemBreadcrumbState b65760 370070
PurchaseOffer b65780 36F880
AreUGCItemsFetchedForController b9efc0 739EE0
ArePublishedUGCFetchedForXUID b9f080 73A7E0
