DATA C63350
 +0 ptr=a49900 raw=7ff7a3bd9900
 +8 ptr=a499f0 raw=7ff7a3bd99f0
 +16 ptr=a49990 raw=7ff7a3bd9990
 +24 ptr=a499e0 raw=7ff7a3bd99e0
 +32 ptr=a49890 raw=7ff7a3bd9890
 +40 ptr=ffff80295ce6fff8 raw=20fffffff8
 +48 ptr=ffff80195ce6fff8 raw=10fffffff8
 +56 ptr=a49b40 raw=7ff7a3bd9b40
 +64 ptr=a49e40 raw=7ff7a3bd9e40
 +72 ptr=a49be0 raw=7ff7a3bd9be0
 +80 ptr=a49db0 raw=7ff7a3bd9db0
 +88 ptr=a49e20 raw=7ff7a3bd9e20
 +96 ptr=a49ab0 raw=7ff7a3bd9ab0
 +104 ptr=ffff80715ce6fff8 raw=68fffffff8
 +112 ptr=ffff80615ce6fff8 raw=58fffffff8
 +120 ptr=a4a2c0 raw=7ff7a3bda2c0
