DATA C63438
 +0 ptr=a4a5a0 raw=7ff7a3bda5a0
 +8 ptr=a4aa10 raw=7ff7a3bdaa10
 +16 ptr=a4a990 raw=7ff7a3bda990
 +24 ptr=a3b5f0 raw=7ff7a3bcb5f0
 +32 ptr=a4a220 raw=7ff7a3bda220
 +40 ptr=ffff83615ce6fff8 raw=358fffffff8
 +48 ptr=ffff83515ce6fff8 raw=348fffffff8
 +56 ptr=a4ab80 raw=7ff7a3bdab80
 +64 ptr=a4af20 raw=7ff7a3bdaf20
 +72 ptr=a4ac20 raw=7ff7a3bdac20
 +80 ptr=a4ae60 raw=7ff7a3bdae60
 +88 ptr=a4aef0 raw=7ff7a3bdaef0
 +96 ptr=a4aae0 raw=7ff7a3bdaae0
 +104 ptr=ffff80b15ce6fff8 raw=a8fffffff8
 +112 ptr=ffff80a15ce6fff8 raw=98fffffff8
 +120 ptr=a4b050 raw=7ff7a3bdb050
